name,specialization,sub_specialization,treats,experience,rating,qualification,hospital,city,state,schedule_days,consultation_time,consultation_fee,contact,languages
Dr. Shubhadeep Das,Pediatrics,"Pediatric Intensive Care, Cardiac Intensive Care","Critical Care, Heart Conditions, Respiratory Distress, Emergency Care",17+ Years,4.8,"MBBS, MD Pediatrics, FRCPCH, FRCP",Dr. Shubhadeep Das's Child Care Clinic,Kolkata,West Bengal,"Mon, Wed, Fri",11:00 AM - 3:00 PM,Rs. 800,033-40645050,"English, Hindi, Bengali"
Dr. Manju Dutta,Pediatrics,General Pediatrics,"Child Infections, Respiratory Issues, Growth Monitoring, Vaccination",32+ Years,4.7,"MBBS, MD Pediatrics",Dr. Dutta Child Clinic,Noida,Uttar Pradesh,"Tue, Thu, Sat",10:00 AM - 2:00 PM,Rs. 900,0120-4567890,"English, Hindi"
Dr. Beena Jeysingh,Gynecology,"Obstetrics, High-Risk Pregnancy","Pregnancy Care, Fibroids, PCOS, Laparoscopic Surgery, Delivery",25+ Years,4.8,"MBBS, MD Obstetrics & Gynecology",Manipal Hospital,Bangalore,Karnataka,"Mon, Wed, Fri",10:00 AM - 2:00 PM,Rs. 1000,080-25023456,"English, Hindi, Kannada"
Dr. Jyothi Kala,Gynecology,"Obstetrics, Ectopic Pregnancy","Ectopic Pregnancy, Normal Delivery, Cesarean, Infertility",20+ Years,4.7,"MBBS, MD Obstetrics & Gynecology",Manipal Hospital,Bangalore,Karnataka,"Tue, Thu, Sat",11:00 AM - 3:00 PM,Rs. 950,080-25023456,"English, Hindi, Kannada, Tamil"
Dr. Shruthi Reddy Poddutoor,Gynecology,"Laparoscopic Surgery, Obstetrics","Laparoscopy, High-Risk Pregnancy, PCOS, Endometriosis",18+ Years,4.7,"MBBS, MS Obstetrics & Gynecology",Rainbow Hospitals,Hyderabad,Telangana,Mon-Sat,9:00 AM - 5:00 PM,Rs. 800,040-22568888,"English, Hindi, Telugu"
Dr. Niti Gaur,Dermatology,"Cosmetic Dermatology, Laser Treatments","Acne, Pigmentation, Anti-Aging, Hair Loss, Laser Hair Removal",15+ Years,4.8,"MBBS, MD Dermatology",Citrine Clinic,Gurgaon,Haryana,Mon-Sat,10:00 AM - 6:00 PM,Rs. 1500,0124-4567890,"English, Hindi"
Dr. SK Bose,Dermatology,Medical Dermatology,"Eczema, Psoriasis, Skin Infections, Allergies, Vitiligo",36+ Years,4.8,"MBBS, MD, DMTH, DVD",Indraprastha Apollo Hospital,New Delhi,Delhi,"Mon, Wed, Fri",11:00 AM - 3:00 PM,Rs. 1800,011-26825000,"English, Hindi, French"
Dr. Rashmi Shetty,Dermatology,"Cosmetic Dermatology, Aesthetic Medicine","Celebrity Skincare, Anti-Aging, Acne Scars, Skin Rejuvenation",20+ Years,4.9,"MBBS, MD Dermatology",Ra Skin & Aesthetics Clinic,Mumbai,Maharashtra,"Tue, Thu, Sat",2:00 PM - 6:00 PM,Rs. 2500,022-26701234,"English, Hindi, Marathi"
Dr. Kamran Khan,Oncology,Surgical Oncology,"Cancer Surgery, Breast Cancer, GI Cancer, Gynecological Cancer",20+ Years,4.8,"MBBS, MS, MCh Surgical Oncology",Tata Memorial Hospital,Mumbai,Maharashtra,"Mon, Wed, Fri",10:00 AM - 2:00 PM,Rs. 1500,022-24177000,"English, Hindi, Urdu"
Dr. Ashok Vaid,Oncology,Medical Oncology,"Chemotherapy, Blood Cancer, Lymphoma, Solid Tumors",31+ Years,4.8,"MBBS, MD, DM Oncology",Medanta - The Medicity,Gurugram,Haryana,"Tue, Thu, Sat",11:00 AM - 3:00 PM,Rs. 2000,0124-4141414,"English, Hindi"
Dr. Bhawana Awasthy,Oncology,Radiation Oncology,"Radiation Therapy, Cancer Treatment, Advanced Radiotherapy",29+ Years,4.7,"MBBS, MD, DNB Radiotherapy",Fortis Hospital,Delhi,Delhi,"Mon, Wed, Fri",9:00 AM - 1:00 PM,Rs. 1500,011-47135000,"English, Hindi"
